BROOKLYN AVE,ST JOHN'S PL,218.0
AVE U,E 16th ST,218.0
35 AVE,200 STREET,869.0
4 AVENUE,28 STREET,444.0
CEDAR AVENUE,WEST 179 STREET,281.0
CENTRAL PARK WEST,WEST 74 STREET,869.0
CROSS ISLAND PKWY SR,107 AVENUE,218.0
FAIRMONT PL,MARMION AVENUE,869.0
LENOX AVE,WEST 111 ST,281.0
CLARENDON ROAD,BROOKLYN AVENUE,218.0
LAKEWOOD AVE,INWOOD STREET,424.0
PARK AVE,58th ST,869.0
BROADWAY,WEST 148 ST,281.0
CENTRAL AVE,SAGE ST,424.0
OCEAN AVE,AVE R,218.0
ASHLAND PLACE,4 AVENUE,281.0
MYRTLE AVE,CLASSON AVE,444.0
86 STREET,7 AVENUE,125.0
LITTLE CLOVE ROAD,CLOVE ROAD,281.0
AVENUE M,EAST 45 STREET,204.0
CLOVE RD,HOWARD AVENUE,125.0
BROADWAY,WEST 98 ST,444.0
BROADWAY,GRANITE STREET,204.0
ARCHER AVE,143 STREET,869.0
8 AVE,WEST 123 ST,424.0
AVE P,W 10th ST,326.0
GOWANUS EXPRESSWAY,29 STREET,204.0
COLUMBUS AVENUE,WEST 61 STREET,281.0
JAMAICA AVENUE,AUTUMN AVENUE,326.0
AMSTERDAM AVE,WEST 148 ST,125.0
LIBERTY AVE,101 AVE,326.0
AMSTERDAM AVE,WEST 147 ST,326.0
AUDUBON AVE,WEST 167 ST,281.0
LINDEN BLVD,198 STREET,204.0
3 AVE,EAST 123 ST,444.0
10 AVENUE,WEST 45 STREET,204.0
BROADWAY,WEST 99 ST,218.0
AVE N,E 15th ST,218.0
CROSS BX EXPWY SER RD,MORRIS AVENUE,125.0
8 AVENUE,CARROLL STREET,444.0
AMSTERDAM AVE,WEST 118 ST,218.0
LIBERTY AVE,BRISBIN STREET,444.0
4 AVENUE,BUTLER STREET,424.0
7 AVE,WEST 148 ST,444.0
56th RD,43rd ST,424.0
ALBANY AVENUE,FARRAGUT ROAD,424.0
FLATBUSH AVENUE,4 AVENUE,125.0
ROOSEVELT AVE,147 STREET,424.0
PARK AVENUE,EAST 59 STREET,218.0
2 AVENUE,EAST 59 STREET,204.0
EAST 165 STREET,CARROLL PLACE,204.0
BRINKERHOFF AVE,111 AVE,125.0
BEDFORD AVE,AVE R,204.0
2 AVE,EAST 124 ST,218.0
AVENUE OF AMERICAS,WEST 11 STREET,204.0
ZEREGA AVENUE,BRUCKNER BOULEVARD,869.0
UNION STREET,37 AVE,326.0
BROADWAY,WEST 74 STREET,326.0
CONEY ISLAND AVE,CATON AVE,444.0
EAST 241 STREET,HILL AVENUE,424.0
CROPSEY AVE,27th AVE,326.0
7 AVENUE,WEST 27 STREET,326.0
AMSTERDAM AVE,WEST 99 ST,869.0
GRAND CONCOURSE_MAIN,EAST 172 STREET,281.0
5 AVENUE,WEST 59 STREET,204.0
FLATLANDS AVE,LOUISIANA AVE,444.0
8 AVENUE,WEST 45 STREET,281.0
HUTCHINSON RIVER PKWY,LAURIE AVENUE,326.0
65 STREET,18 AVENUE,125.0
AMSTERDAM AVE,WEST 165 ST,869.0
KINGS HIGHWAY,AVENUE I,326.0
LENOX AVE,WEST 123 ST,424.0
AVE M,E 15th ST,204.0
MYRTLE AVE,THROOP AVE,218.0
ALBANY AVE,LENOX RD,281.0
FLUSHING AVE,THORNTON ST,125.0
CANAL STREET,BROADWAY,204.0
7 AVE,WEST 148 ST,326.0
LIBERTY AVE,BRISBIN STREET,326.0
CROTONA AVENUE,EAST 187 STREET,869.0
AUDUBON AVE,WEST 173 ST,218.0
8 AVENUE,CARROLL STREET,326.0
OCEAN AVENUE,FARRAGUT ROAD,204.0
73 PLACE,78 AVENUE,218.0
KINGS HWY,E 15th ST,218.0
3 AVE,EAST 123 ST,326.0
EAST 138 STREET,GRAND CONCOURSE,424.0
LEXINGTON AVENUE,121ST ST,281.0
LIBERTY STREET,BROADWAY,424.0
MESEROLE STREET,LEONARD  ST,204.0
AMSTERDAM AVE,WEST 147 ST,444.0
LIBERTY AVE,101 AVE,444.0
MADISON STREET,CATHERINE STREET,281.0
JAMAICA AVENUE,AUTUMN AVENUE,444.0
CHURCH AVE,E 37th ST,204.0
JEROME AVENUE,EAST 172 STREET,424.0
7 AVENUE,BROADWAY,218.0
ARTHUR KILL ROAD,ENGLEWOOD AVENUE,869.0
AVE P,W 10th ST,444.0
AVENUE C,EAST 11 STREET,218.0
11th ST,47th AVE,125.0
CLINTON STREET,DELANCEY STREET,424.0
1 AVE,EAST 99 ST,218.0
7 AVENUE,65 STREET,125.0
BAY PKWY,72nd ST,869.0
EAST 18 STREET,BROADWAY,218.0
BEDFORD AVE,METROPOLITAN AVE,218.0
ALBANY AVE,MIDWOOD ST,204.0
PARK AVENUE SOUTH,EAST 26 STREET,218.0
AMSTERDAM AVENUE,WEST 61 STREET,424.0
LINDEN BOULEVARD,HINSDALE STREET,869.0
BROADWAY,WEST 174 ST,424.0
EAST TREMONT AVENUE,ANTHONY AVENUE,218.0
MARATHON PKWY,DEEPDALE AVE,424.0
